,age,RFM_Score ,cluster,age_cluster_label
0,68,0.1,2,Seniors
1,44,0.7,0,Young Adults
2,46,0.6,0,Young Adults
3,61,0.5,2,Seniors
4,64,0.9,2,Seniors
5,45,0.3,0,Young Adults
6,37,0.8,1,Middle-Aged
7,53,0.3,0,Young Adults
8,63,1.0,2,Seniors
9,45,0.7,0,Young Adults
10,70,0.8,2,Seniors
11,42,0.8,0,Young Adults
12,40,0.6,0,Young Adults
13,48,0.8,0,Young Adults
14,46,0.3,0,Young Adults
15,57,0.8,2,Seniors
16,66,0.5,2,Seniors
17,45,0.4,0,Young Adults
18,50,0.0,0,Young Adults
19,45,0.7,0,Young Adults
20,33,0.9,1,Middle-Aged
21,52,0.1,0,Young Adults
22,45,0.9,0,Young Adults
23,56,0.5,2,Seniors
24,45,0.0,0,Young Adults
25,30,0.3,1,Middle-Aged
26,61,0.0,2,Seniors
27,53,0.5,0,Young Adults
28,64,0.6,2,Seniors
29,48,0.1,0,Young Adults
30,54,0.7,2,Seniors
31,26,0.2,1,Middle-Aged
32,30,0.7,1,Middle-Aged
33,45,0.6,0,Young Adults
34,43,0.6,0,Young Adults
35,39,0.9,0,Young Adults
36,53,0.3,0,Young Adults
37,25,0.1,1,Middle-Aged
38,69,0.7,2,Seniors
39,55,0.7,2,Seniors
40,25,0.4,1,Middle-Aged
41,38,0.2,1,Middle-Aged
42,44,0.8,0,Young Adults
43,36,0.6,1,Middle-Aged
44,39,0.1,0,Young Adults
45,46,0.9,0,Young Adults
46,36,0.6,1,Middle-Aged
47,63,0.7,2,Seniors
48,28,0.8,1,Middle-Aged
49,45,0.6,0,Young Adults
50,36,0.2,1,Middle-Aged
51,42,0.8,0,Young Adults
52,44,0.6,0,Young Adults
53,53,0.9,0,Young Adults
54,35,0.5,1,Middle-Aged
55,38,0.8,1,Middle-Aged
56,66,0.6,2,Seniors
57,60,0.7,2,Seniors
58,48,0.4,0,Young Adults
59,56,0.6,2,Seniors
60,23,0.9,1,Middle-Aged
61,35,0.7,1,Middle-Aged
62,45,0.9,0,Young Adults
63,64,0.2,2,Seniors
64,55,1.0,2,Seniors
65,69,1.0,2,Seniors
66,46,0.3,0,Young Adults
67,28,0.5,1,Middle-Aged
68,44,0.7,0,Young Adults
69,59,0.4,2,Seniors
70,45,0.4,0,Young Adults
71,42,0.4,0,Young Adults
72,47,0.8,0,Young Adults
73,37,0.3,1,Middle-Aged
74,23,1.0,1,Middle-Aged
75,29,0.7,1,Middle-Aged
76,31,0.1,1,Middle-Aged
77,48,0.7,0,Young Adults
78,31,0.2,1,Middle-Aged
79,26,0.5,1,Middle-Aged
80,31,0.4,1,Middle-Aged
81,46,0.9,0,Young Adults
82,28,0.1,1,Middle-Aged
