,job_industry_category,RFM_Score ,job_category_encoded,cluster
0,Financial Services,0.1,2,0
1,Health,0.7,3,0
2,Retail,0.6,7,2
3,Financial Services,0.5,2,0
4,Property,0.9,6,2
5,Health,0.3,3,0
6,Manufacturing,0.8,5,1
7,Financial Services,0.3,2,0
8,Entertainment,1.0,1,0
9,Retail,0.7,7,2
10,Retail,0.8,7,2
11,Health,0.8,3,0
12,Financial Services,0.6,2,0
13,Health,0.8,3,0
14,Financial Services,0.3,2,0
15,Health,0.8,3,0
16,Financial Services,0.5,2,0
17,Property,0.4,6,2
18,Financial Services,0.0,2,0
19,Manufacturing,0.7,5,1
20,IT,0.9,4,1
21,Health,0.1,3,0
22,Retail,0.9,7,2
23,Financial Services,0.5,2,0
24,Retail,0.0,7,2
25,Financial Services,0.3,2,0
26,Manufacturing,0.0,5,1
27,Health,0.5,3,0
28,Financial Services,0.6,2,0
29,Health,0.1,3,0
30,Manufacturing,0.7,5,1
31,Entertainment,0.2,1,0
32,Property,0.7,6,2
33,Financial Services,0.6,2,0
34,Property,0.6,6,2
35,Argiculture,0.9,0,0
36,Financial Services,0.3,2,0
37,Property,0.1,6,2
38,Retail,0.7,7,2
39,Entertainment,0.7,1,0
40,Health,0.4,3,0
41,Manufacturing,0.2,5,1
42,IT,0.8,4,1
43,Manufacturing,0.6,5,1
44,Manufacturing,0.1,5,1
45,Argiculture,0.9,0,0
46,Entertainment,0.6,1,0
47,Manufacturing,0.7,5,1
48,Property,0.8,6,2
49,Property,0.6,6,2
50,Financial Services,0.2,2,0
51,Manufacturing,0.8,5,1
52,Health,0.6,3,0
53,Telecommunications,0.9,8,2
54,Manufacturing,0.5,5,1
55,Retail,0.8,7,2
56,Manufacturing,0.6,5,1
57,Health,0.7,3,0
58,Manufacturing,0.4,5,1
59,Manufacturing,0.6,5,1
60,Retail,0.9,7,2
61,Manufacturing,0.7,5,1
62,Financial Services,0.9,2,0
63,Manufacturing,0.2,5,1
64,Health,1.0,3,0
65,Health,1.0,3,0
66,Financial Services,0.3,2,0
67,Manufacturing,0.5,5,1
68,Health,0.7,3,0
69,Health,0.4,3,0
70,Financial Services,0.4,2,0
71,Financial Services,0.4,2,0
72,Retail,0.8,7,2
73,Health,0.3,3,0
74,Health,1.0,3,0
75,Manufacturing,0.7,5,1
76,Health,0.1,3,0
77,Financial Services,0.7,2,0
78,Manufacturing,0.2,5,1
79,Argiculture,0.5,0,0
80,Retail,0.4,7,2
81,Manufacturing,0.9,5,1
82,IT,0.1,4,1
83,Manufacturing,0.7,5,1
84,IT,0.3,4,1
85,Health,0.2,3,0
86,Health,0.1,3,0
87,Manufacturing,0.4,5,1
88,Manufacturing,0.4,5,1
89,Financial Services,0.1,2,0
90,Health,0.6,3,0
91,Entertainment,0.8,1,0
92,Manufacturing,1.0,5,1
93,Financial Services,0.9,2,0
94,IT,0.4,4,1
95,Manufacturing,0.3,5,1
96,IT,0.9,4,1
97,Manufacturing,0.8,5,1
98,Health,0.9,3,0
99,Financial Services,0.4,2,0
100,Entertainment,1.0,1,0
101,Health,0.4,3,0
102,Manufacturing,0.6,5,1
103,Health,0.6,3,0
104,Financial Services,0.6,2,0
105,Entertainment,1.0,1,0
106,Financial Services,0.5,2,0
107,Health,0.4,3,0
108,Health,0.7,3,0
109,Manufacturing,0.8,5,1
110,Financial Services,1.0,2,0
111,Argiculture,0.7,0,0
112,Financial Services,0.6,2,0
113,Manufacturing,0.1,5,1
114,Health,0.3,3,0
115,Retail,0.8,7,2
116,Entertainment,1.0,1,0
117,Manufacturing,0.4,5,1
118,Manufacturing,0.5,5,1
119,Argiculture,0.6,0,0
120,Financial Services,0.7,2,0
121,Manufacturing,0.8,5,1
122,Manufacturing,0.4,5,1
123,Health,0.0,3,0
124,Argiculture,0.3,0,0
125,Financial Services,0.7,2,0
126,Health,0.4,3,0
127,IT,0.4,4,1
128,Retail,0.9,7,2
129,Retail,0.3,7,2
130,Telecommunications,0.7,8,2
131,Retail,0.6,7,2
132,Manufacturing,0.6,5,1
133,Entertainment,0.0,1,0
134,Entertainment,0.1,1,0
135,Manufacturing,0.4,5,1
136,Financial Services,0.5,2,0
137,Financial Services,0.3,2,0
138,Financial Services,0.1,2,0
139,Argiculture,0.4,0,0
140,Retail,0.4,7,2
141,Financial Services,0.6,2,0
142,Financial Services,0.1,2,0
143,Financial Services,0.4,2,0
144,Financial Services,0.5,2,0
145,Retail,0.7,7,2
146,Health,0.6,3,0
147,Financial Services,0.9,2,0
148,Health,0.9,3,0
149,Manufacturing,0.4,5,1
150,Health,0.8,3,0
151,Health,0.8,3,0
152,Manufacturing,0.7,5,1
153,Financial Services,0.7,2,0
154,Financial Services,0.4,2,0
155,Manufacturing,0.7,5,1
156,Manufacturing,0.7,5,1
157,Health,1.0,3,0
158,Financial Services,0.5,2,0
159,Telecommunications,0.6,8,2
160,Retail,0.3,7,2
161,Health,0.4,3,0
162,Health,0.5,3,0
163,Financial Services,0.7,2,0
164,Financial Services,0.9,2,0
165,Health,0.7,3,0
166,Health,0.4,3,0
167,Retail,0.6,7,2
168,Manufacturing,0.6,5,1
169,IT,0.1,4,1
170,Argiculture,0.6,0,0
171,Manufacturing,0.4,5,1
172,Health,0.4,3,0
173,Health,0.2,3,0
174,Retail,0.7,7,2
175,Retail,0.7,7,2
176,Retail,0.5,7,2
177,Health,1.0,3,0
178,Retail,0.6,7,2
179,Manufacturing,0.7,5,1
180,Financial Services,0.7,2,0
181,Manufacturing,0.3,5,1
182,Financial Services,0.3,2,0
183,IT,0.8,4,1
184,IT,0.4,4,1
185,Financial Services,0.2,2,0
186,Health,0.0,3,0
187,Financial Services,0.3,2,0
188,Property,0.6,6,2
189,Financial Services,0.5,2,0
190,Manufacturing,0.6,5,1
191,Financial Services,0.0,2,0
192,Manufacturing,0.6,5,1
193,IT,0.1,4,1
194,IT,0.6,4,1
195,Health,1.0,3,0
196,Argiculture,0.9,0,0
197,Retail,0.7,7,2
198,Manufacturing,0.2,5,1
199,Retail,0.2,7,2
200,Manufacturing,0.4,5,1
201,Retail,0.7,7,2
202,Manufacturing,0.4,5,1
203,Financial Services,0.6,2,0
204,Entertainment,0.8,1,0
205,Health,0.5,3,0
206,Manufacturing,0.0,5,1
207,Manufacturing,0.2,5,1
208,Financial Services,0.6,2,0
209,Health,0.6,3,0
210,Telecommunications,0.1,8,2
211,Health,0.6,3,0
212,Financial Services,0.8,2,0
213,Health,0.9,3,0
214,Retail,0.3,7,2
215,Financial Services,0.7,2,0
216,Property,0.7,6,2
217,Property,0.0,6,2
218,Financial Services,0.0,2,0
219,Financial Services,0.8,2,0
220,Manufacturing,0.5,5,1
221,Financial Services,0.4,2,0
222,Financial Services,1.0,2,0
223,Manufacturing,0.5,5,1
224,Property,0.7,6,2
225,Entertainment,0.8,1,0
226,Manufacturing,0.6,5,1
227,Financial Services,0.4,2,0
228,Manufacturing,0.6,5,1
229,Retail,0.7,7,2
