,owns_car,RFM_Score ,owns_car_encoded,cluster
0,Yes,0.1,1,1
1,Yes,0.7,1,1
2,No,0.6,0,0
3,No,0.5,0,2
4,Yes,0.9,1,1
5,Yes,0.3,1,1
6,No,0.8,0,0
7,Yes,0.3,1,1
8,No,1.0,0,0
9,Yes,0.7,1,1
10,No,0.8,0,0
11,No,0.8,0,0
12,Yes,0.6,1,1
13,Yes,0.8,1,1
14,No,0.3,0,2
15,No,0.8,0,0
16,Yes,0.5,1,1
17,No,0.4,0,2
18,No,0.0,0,2
19,Yes,0.7,1,1
20,No,0.9,0,0
21,No,0.1,0,2
22,Yes,0.9,1,1
23,No,0.5,0,2
24,No,0.0,0,2
25,Yes,0.3,1,1
26,Yes,0.0,1,1
27,No,0.5,0,2
28,Yes,0.6,1,1
29,No,0.1,0,2
30,Yes,0.7,1,1
31,Yes,0.2,1,1
32,No,0.7,0,0
33,Yes,0.6,1,1
34,Yes,0.6,1,1
35,Yes,0.9,1,1
36,Yes,0.3,1,1
37,No,0.1,0,2
38,No,0.7,0,0
39,No,0.7,0,0
40,Yes,0.4,1,1
41,No,0.2,0,2
42,Yes,0.8,1,1
43,No,0.6,0,0
44,No,0.1,0,2
45,No,0.9,0,0
46,Yes,0.6,1,1
47,Yes,0.7,1,1
48,Yes,0.8,1,1
49,No,0.6,0,0
50,Yes,0.2,1,1
51,No,0.8,0,0
52,No,0.6,0,0
53,No,0.9,0,0
54,No,0.5,0,2
55,Yes,0.8,1,1
56,No,0.6,0,0
57,No,0.7,0,0
58,No,0.4,0,2
59,Yes,0.6,1,1
60,Yes,0.9,1,1
61,Yes,0.7,1,1
62,Yes,0.9,1,1
63,Yes,0.2,1,1
64,Yes,1.0,1,1
65,Yes,1.0,1,1
66,No,0.3,0,2
67,No,0.5,0,2
68,Yes,0.7,1,1
69,No,0.4,0,2
70,No,0.4,0,2
71,Yes,0.4,1,1
72,No,0.8,0,0
73,No,0.3,0,2
74,No,1.0,0,0
75,No,0.7,0,0
76,No,0.1,0,2
77,Yes,0.7,1,1
78,Yes,0.2,1,1
79,No,0.5,0,2
80,Yes,0.4,1,1
81,Yes,0.9,1,1
82,No,0.1,0,2
83,Yes,0.7,1,1
84,No,0.3,0,2
85,Yes,0.2,1,1
86,No,0.1,0,2
87,Yes,0.4,1,1
88,No,0.4,0,2
89,No,0.1,0,2
90,No,0.6,0,0
91,Yes,0.8,1,1
92,Yes,1.0,1,1
93,Yes,0.9,1,1
94,Yes,0.4,1,1
95,Yes,0.3,1,1
96,No,0.9,0,0
97,No,0.8,0,0
98,Yes,0.9,1,1
99,No,0.4,0,2
100,No,1.0,0,0
101,No,0.4,0,2
102,Yes,0.6,1,1
103,Yes,0.6,1,1
104,Yes,0.6,1,1
105,No,1.0,0,0
106,Yes,0.5,1,1
107,Yes,0.4,1,1
108,No,0.7,0,0
109,Yes,0.8,1,1
110,Yes,1.0,1,1
111,Yes,0.7,1,1
112,No,0.6,0,0
113,Yes,0.1,1,1
114,No,0.3,0,2
115,Yes,0.8,1,1
116,No,1.0,0,0
117,Yes,0.4,1,1
118,No,0.5,0,2
119,Yes,0.6,1,1
120,No,0.7,0,0
121,Yes,0.8,1,1
122,No,0.4,0,2
123,No,0.0,0,2
124,No,0.3,0,2
125,Yes,0.7,1,1
126,No,0.4,0,2
127,Yes,0.4,1,1
128,No,0.9,0,0
129,Yes,0.3,1,1
130,Yes,0.7,1,1
131,Yes,0.6,1,1
132,No,0.6,0,0
133,No,0.0,0,2
134,No,0.1,0,2
135,No,0.4,0,2
136,No,0.5,0,2
137,No,0.3,0,2
138,Yes,0.1,1,1
139,No,0.4,0,2
140,No,0.4,0,2
141,Yes,0.6,1,1
142,Yes,0.1,1,1
143,Yes,0.4,1,1
144,Yes,0.5,1,1
145,No,0.7,0,0
146,No,0.6,0,0
147,Yes,0.9,1,1
148,No,0.9,0,0
149,No,0.4,0,2
150,No,0.8,0,0
151,No,0.8,0,0
152,No,0.7,0,0
153,Yes,0.7,1,1
154,Yes,0.4,1,1
155,Yes,0.7,1,1
156,Yes,0.7,1,1
157,No,1.0,0,0
158,Yes,0.5,1,1
159,Yes,0.6,1,1
160,Yes,0.3,1,1
161,No,0.4,0,2
162,Yes,0.5,1,1
163,Yes,0.7,1,1
164,Yes,0.9,1,1
165,No,0.7,0,0
166,No,0.4,0,2
167,Yes,0.6,1,1
168,Yes,0.6,1,1
169,No,0.1,0,2
170,Yes,0.6,1,1
171,Yes,0.4,1,1
172,No,0.4,0,2
173,Yes,0.2,1,1
174,No,0.7,0,0
175,No,0.7,0,0
176,No,0.5,0,2
177,No,1.0,0,0
178,Yes,0.6,1,1
179,No,0.7,0,0
180,Yes,0.7,1,1
181,Yes,0.3,1,1
182,No,0.3,0,2
183,No,0.8,0,0
184,No,0.4,0,2
185,Yes,0.2,1,1
186,No,0.0,0,2
187,No,0.3,0,2
188,Yes,0.6,1,1
189,Yes,0.5,1,1
190,Yes,0.6,1,1
191,No,0.0,0,2
192,Yes,0.6,1,1
193,Yes,0.1,1,1
194,Yes,0.6,1,1
195,No,1.0,0,0
196,Yes,0.9,1,1
197,Yes,0.7,1,1
198,Yes,0.2,1,1
199,Yes,0.2,1,1
200,Yes,0.4,1,1
201,Yes,0.7,1,1
202,No,0.4,0,2
