,product_line,RFM_Score ,prod_line_encoded
0,Standard,0.1,2
1,Standard,0.7,2
2,Standard,0.6,2
3,Standard,0.5,2
4,Road,0.9,1
5,Standard,0.3,2
6,Standard,0.8,2
7,Standard,0.3,2
8,Standard,1.0,2
9,Standard,0.7,2
10,Standard,0.8,2
11,Standard,0.8,2
12,Standard,0.6,2
13,Standard,0.8,2
14,Standard,0.3,2
15,Standard,0.8,2
16,Road,0.5,1
17,Standard,0.4,2
18,Standard,0.0,2
19,Standard,0.7,2
20,Road,0.9,1
21,Standard,0.1,2
22,Mountain,0.9,0
23,Standard,0.5,2
24,Standard,0.0,2
25,Standard,0.3,2
26,Road,0.0,1
27,Road,0.5,1
28,Standard,0.6,2
29,Standard,0.1,2
30,Standard,0.7,2
31,Standard,0.2,2
32,Road,0.7,1
33,Standard,0.6,2
34,Standard,0.6,2
35,Standard,0.9,2
36,Standard,0.3,2
37,Standard,0.1,2
38,Standard,0.7,2
39,Road,0.7,1
40,Standard,0.4,2
41,Standard,0.2,2
42,Road,0.8,1
43,Standard,0.6,2
44,Standard,0.1,2
45,Standard,0.9,2
46,Road,0.6,1
47,Standard,0.7,2
48,Standard,0.8,2
49,Standard,0.6,2
50,Standard,0.2,2
51,Standard,0.8,2
52,Standard,0.6,2
53,Standard,0.9,2
54,Standard,0.5,2
55,Touring,0.8,3
56,Standard,0.6,2
57,Road,0.7,1
58,Standard,0.4,2
59,Standard,0.6,2
60,Standard,0.9,2
61,Road,0.7,1
62,Standard,0.9,2
63,Standard,0.2,2
64,Standard,1.0,2
65,Standard,1.0,2
66,Standard,0.3,2
67,Standard,0.5,2
68,Standard,0.7,2
69,Standard,0.4,2
70,Standard,0.4,2
71,Touring,0.4,3
72,Standard,0.8,2
73,Standard,0.3,2
74,Standard,1.0,2
75,Standard,0.7,2
76,Road,0.1,1
77,Standard,0.7,2
78,Touring,0.2,3
79,Standard,0.5,2
80,Road,0.4,1
81,Standard,0.9,2
82,Standard,0.1,2
83,Road,0.7,1
84,Standard,0.3,2
85,Road,0.2,1
86,Road,0.1,1
87,Standard,0.4,2
88,Standard,0.4,2
89,Road,0.1,1
90,Standard,0.6,2
91,Standard,0.8,2
92,Standard,1.0,2
93,Road,0.9,1
94,Standard,0.4,2
95,Standard,0.3,2
96,Standard,0.9,2
97,Touring,0.8,3
98,Road,0.9,1
99,Road,0.4,1
100,Standard,1.0,2
101,Touring,0.4,3
102,Road,0.6,1
103,Standard,0.6,2
104,Standard,0.6,2
105,Standard,1.0,2
106,Standard,0.5,2
107,Mountain,0.4,0
108,Standard,0.7,2
109,Standard,0.8,2
110,Touring,1.0,3
111,Road,0.7,1
