,state,RFM_Score ,state_encoded,cluster
0,VIC,0.1,2,1
1,NSW,0.7,0,0
2,NSW,0.6,0,0
3,NSW,0.5,0,0
4,NSW,0.9,0,0
5,NSW,0.3,0,0
6,QLD,0.8,1,2
7,QLD,0.3,1,2
8,QLD,1.0,1,2
9,NSW,0.7,0,0
10,NSW,0.8,0,0
11,NSW,0.8,0,0
12,NSW,0.6,0,0
13,VIC,0.8,2,1
14,NSW,0.3,0,0
15,VIC,0.8,2,1
16,NSW,0.5,0,0
17,NSW,0.4,0,0
18,QLD,0.0,1,2
19,NSW,0.7,0,0
20,NSW,0.9,0,0
21,NSW,0.1,0,0
22,QLD,0.9,1,2
23,NSW,0.5,0,0
24,NSW,0.0,0,0
25,QLD,0.3,1,2
26,QLD,0.0,1,2
27,NSW,0.5,0,0
28,VIC,0.6,2,1
29,QLD,0.1,1,2
30,QLD,0.7,1,2
31,NSW,0.2,0,0
32,NSW,0.7,0,0
33,QLD,0.6,1,2
34,VIC,0.6,2,1
35,NSW,0.9,0,0
36,QLD,0.3,1,2
37,QLD,0.1,1,2
38,QLD,0.7,1,2
39,QLD,0.7,1,2
40,NSW,0.4,0,0
41,NSW,0.2,0,0
42,NSW,0.8,0,0
43,QLD,0.6,1,2
44,QLD,0.1,1,2
45,NSW,0.9,0,0
46,QLD,0.6,1,2
47,VIC,0.7,2,1
48,VIC,0.8,2,1
49,NSW,0.6,0,0
50,NSW,0.2,0,0
51,QLD,0.8,1,2
52,QLD,0.6,1,2
53,VIC,0.9,2,1
54,NSW,0.5,0,0
55,NSW,0.8,0,0
56,NSW,0.6,0,0
57,NSW,0.7,0,0
58,VIC,0.4,2,1
59,NSW,0.6,0,0
60,VIC,0.9,2,1
61,QLD,0.7,1,2
62,NSW,0.9,0,0
63,NSW,0.2,0,0
64,VIC,1.0,2,1
65,NSW,1.0,0,0
66,QLD,0.3,1,2
67,NSW,0.5,0,0
68,NSW,0.7,0,0
69,NSW,0.4,0,0
70,NSW,0.4,0,0
71,NSW,0.4,0,0
72,NSW,0.8,0,0
73,VIC,0.3,2,1
74,NSW,1.0,0,0
75,VIC,0.7,2,1
76,NSW,0.1,0,0
77,NSW,0.7,0,0
78,NSW,0.2,0,0
79,VIC,0.5,2,1
80,NSW,0.4,0,0
81,NSW,0.9,0,0
82,QLD,0.1,1,2
83,NSW,0.7,0,0
84,VIC,0.3,2,1
85,NSW,0.2,0,0
86,NSW,0.1,0,0
87,VIC,0.4,2,1
88,VIC,0.4,2,1
89,NSW,0.1,0,0
90,NSW,0.6,0,0
91,QLD,0.8,1,2
92,QLD,1.0,1,2
93,NSW,0.9,0,0
94,QLD,0.4,1,2
95,QLD,0.3,1,2
96,VIC,0.9,2,1
97,NSW,0.8,0,0
98,VIC,0.9,2,1
99,NSW,0.4,0,0
100,QLD,1.0,1,2
101,NSW,0.4,0,0
102,VIC,0.6,2,1
103,QLD,0.6,1,2
104,QLD,0.6,1,2
105,VIC,1.0,2,1
106,VIC,0.5,2,1
107,NSW,0.4,0,0
108,NSW,0.7,0,0
109,NSW,0.8,0,0
110,VIC,1.0,2,1
111,NSW,0.7,0,0
112,VIC,0.6,2,1
113,QLD,0.1,1,2
114,VIC,0.3,2,1
115,NSW,0.8,0,0
116,QLD,1.0,1,2
117,NSW,0.4,0,0
118,NSW,0.5,0,0
119,QLD,0.6,1,2
120,QLD,0.7,1,2
121,QLD,0.8,1,2
122,NSW,0.4,0,0
123,VIC,0.0,2,1
124,VIC,0.3,2,1
125,VIC,0.7,2,1
126,QLD,0.4,1,2
127,NSW,0.4,0,0
128,NSW,0.9,0,0
129,NSW,0.3,0,0
130,NSW,0.7,0,0
131,QLD,0.6,1,2
132,NSW,0.6,0,0
133,NSW,0.0,0,0
134,NSW,0.1,0,0
135,QLD,0.4,1,2
136,NSW,0.5,0,0
137,NSW,0.3,0,0
138,NSW,0.1,0,0
139,QLD,0.4,1,2
140,NSW,0.4,0,0
141,VIC,0.6,2,1
142,NSW,0.1,0,0
143,NSW,0.4,0,0
144,NSW,0.5,0,0
145,QLD,0.7,1,2
146,QLD,0.6,1,2
147,NSW,0.9,0,0
148,VIC,0.9,2,1
149,NSW,0.4,0,0
150,NSW,0.8,0,0
151,NSW,0.8,0,0
152,NSW,0.7,0,0
153,VIC,0.7,2,1
154,NSW,0.4,0,0
155,NSW,0.7,0,0
156,NSW,0.7,0,0
157,QLD,1.0,1,2
158,NSW,0.5,0,0
159,NSW,0.6,0,0
160,VIC,0.3,2,1
161,NSW,0.4,0,0
162,NSW,0.5,0,0
163,NSW,0.7,0,0
164,NSW,0.9,0,0
165,NSW,0.7,0,0
166,VIC,0.4,2,1
167,NSW,0.6,0,0
168,VIC,0.6,2,1
169,VIC,0.1,2,1
170,NSW,0.6,0,0
171,QLD,0.4,1,2
172,NSW,0.4,0,0
173,VIC,0.2,2,1
174,QLD,0.7,1,2
175,QLD,0.7,1,2
176,NSW,0.5,0,0
177,VIC,1.0,2,1
178,NSW,0.6,0,0
179,QLD,0.7,1,2
180,QLD,0.7,1,2
181,VIC,0.3,2,1
182,VIC,0.3,2,1
183,QLD,0.8,1,2
184,NSW,0.4,0,0
185,NSW,0.2,0,0
186,NSW,0.0,0,0
187,NSW,0.3,0,0
188,NSW,0.6,0,0
189,VIC,0.5,2,1
190,NSW,0.6,0,0
191,VIC,0.0,2,1
192,NSW,0.6,0,0
193,VIC,0.1,2,1
194,QLD,0.6,1,2
195,VIC,1.0,2,1
196,NSW,0.9,0,0
197,NSW,0.7,0,0
198,NSW,0.2,0,0
199,VIC,0.2,2,1
200,VIC,0.4,2,1
201,VIC,0.7,2,1
202,NSW,0.4,0,0
203,NSW,0.6,0,0
204,NSW,0.8,0,0
205,QLD,0.5,1,2
206,NSW,0.0,0,0
207,NSW,0.2,0,0
208,QLD,0.6,1,2
209,NSW,0.6,0,0
210,QLD,0.1,1,2
211,VIC,0.6,2,1
212,NSW,0.8,0,0
213,QLD,0.9,1,2
214,NSW,0.3,0,0
215,NSW,0.7,0,0
216,NSW,0.7,0,0
217,QLD,0.0,1,2
218,NSW,0.0,0,0
219,NSW,0.8,0,0
220,NSW,0.5,0,0
221,VIC,0.4,2,1
222,QLD,1.0,1,2
223,NSW,0.5,0,0
224,VIC,0.7,2,1
225,VIC,0.8,2,1
226,NSW,0.6,0,0
227,QLD,0.4,1,2
228,NSW,0.6,0,0
229,QLD,0.7,1,2
230,VIC,0.8,2,1
231,NSW,0.3,0,0
232,QLD,0.8,1,2
233,NSW,0.1,0,0
234,NSW,0.9,0,0
235,NSW,0.5,0,0
236,QLD,0.4,1,2
237,NSW,0.4,0,0
238,VIC,0.4,2,1
239,NSW,0.4,0,0
240,NSW,0.5,0,0
241,NSW,0.8,0,0
242,NSW,0.6,0,0
243,VIC,0.6,2,1
244,NSW,0.0,0,0
245,VIC,0.6,2,1
246,QLD,0.7,1,2
247,NSW,0.5,0,0
248,NSW,0.4,0,0
249,QLD,0.7,1,2
250,NSW,0.9,0,0
251,VIC,0.7,2,1
252,VIC,0.1,2,1
253,VIC,0.4,2,1
254,NSW,0.3,0,0
255,NSW,0.7,0,0
256,NSW,0.6,0,0
257,NSW,0.7,0,0
258,VIC,0.4,2,1
259,VIC,0.5,2,1
260,NSW,0.0,0,0
261,NSW,0.7,0,0
262,QLD,0.9,1,2
263,QLD,0.8,1,2
264,QLD,0.5,1,2
265,QLD,0.7,1,2
266,NSW,0.4,0,0
267,NSW,0.9,0,0
