,wealth_segment,RFM_Score ,wealth_segment_encoded,cluster
0,Mass Customer,0.1,2,1
1,Mass Customer,0.7,2,1
2,Affluent Customer,0.6,0,2
3,Mass Customer,0.5,2,1
4,Affluent Customer,0.9,0,2
5,Mass Customer,0.3,2,1
6,High Net Worth,0.8,1,0
7,High Net Worth,0.3,1,0
8,Mass Customer,1.0,2,1
9,Affluent Customer,0.7,0,2
10,Mass Customer,0.8,2,1
11,Mass Customer,0.8,2,1
12,High Net Worth,0.6,1,0
13,Mass Customer,0.8,2,1
14,Mass Customer,0.3,2,1
15,Mass Customer,0.8,2,1
16,Mass Customer,0.5,2,1
17,Mass Customer,0.4,2,1
18,Mass Customer,0.0,2,1
19,Mass Customer,0.7,2,1
20,High Net Worth,0.9,1,0
21,Mass Customer,0.1,2,1
22,High Net Worth,0.9,1,0
23,Affluent Customer,0.5,0,2
24,High Net Worth,0.0,1,0
25,Mass Customer,0.3,2,1
26,High Net Worth,0.0,1,0
27,High Net Worth,0.5,1,0
28,Mass Customer,0.6,2,1
29,High Net Worth,0.1,1,0
30,Affluent Customer,0.7,0,2
31,Mass Customer,0.2,2,1
32,High Net Worth,0.7,1,0
33,Mass Customer,0.6,2,1
34,Mass Customer,0.6,2,1
35,Mass Customer,0.9,2,1
36,High Net Worth,0.3,1,0
37,Mass Customer,0.1,2,1
38,Mass Customer,0.7,2,1
39,Mass Customer,0.7,2,1
40,Mass Customer,0.4,2,1
41,High Net Worth,0.2,1,0
42,Mass Customer,0.8,2,1
43,Mass Customer,0.6,2,1
44,Mass Customer,0.1,2,1
45,High Net Worth,0.9,1,0
46,High Net Worth,0.6,1,0
47,Affluent Customer,0.7,0,2
48,Mass Customer,0.8,2,1
49,Mass Customer,0.6,2,1
50,High Net Worth,0.2,1,0
51,Affluent Customer,0.8,0,2
52,High Net Worth,0.6,1,0
53,Mass Customer,0.9,2,1
54,Affluent Customer,0.5,0,2
55,Affluent Customer,0.8,0,2
56,Affluent Customer,0.6,0,2
57,High Net Worth,0.7,1,0
58,Mass Customer,0.4,2,1
59,Mass Customer,0.6,2,1
60,High Net Worth,0.9,1,0
61,High Net Worth,0.7,1,0
